CCStrain	replicate	MaximumPCAValue	DateofExpulsion	IgEfoldchange	sex	EarSwell	ExpulsionTime
CC001	1	19	NA	NA	F	0.929483628608123	NA
CC001	2	12	NA	NA	F	-0.126647650817457	NA
CC001	3	18	NA	NA	F	0.778607731547326	NA
CC002	1	13	14	-1.28699991057985	F	0.0242282462433397	1.29254730636833
CC002	2	9	14	-0.565793250101417	F	-0.579275341999849	1.29254730636833
CC002	3	11	14	-1.48635158620163	F	-0.277523547878255	1.29254730636833
CC003	1	5	10	-0.144719028915143	F	-1.18277893024304	-0.976005108890369
CC003	2	9	10	0.467764627579057	F	-0.579275341999849	-0.976005108890369
CC003	3	10	11	0.52395849653459	F	-0.428399444939052	-0.408867005075695
CC004	1	19	11	0.473723616972168	F	0.929483628608123	-0.408867005075695
CC004	2	21	11	0.389087264062666	F	1.23123542272972	-0.408867005075695
CC004	3	19	12	-0.0940069350476712	F	0.929483628608123	0.158271098738979
CC005	1	15	11	0.10651047992812	F	0.325980040364934	-0.408867005075695
CC005	2	9	12	0.318461500008463	F	-0.579275341999849	0.158271098738979
CC005	3	11	13	0.521381800283412	F	-0.277523547878255	0.725409202553653
CC006	1	11	11	-0.0731266818130203	F	-0.277523547878255	-0.408867005075695
CC006	2	15	11	0.20700409166132	F	0.325980040364934	-0.408867005075695
CC006	3	13	11	0.0136830405692584	F	0.0242282462433397	-0.408867005075695
CC007	1	9	12	-0.162468998243233	F	-0.579275341999849	0.158271098738979
CC007	2	9	12	-0.563035124001232	F	-0.579275341999849	0.158271098738979
CC009	1	25	10	0.405638780108108	F	1.83473901097291	-0.976005108890369
CC009	2	29	10	0.82380078454254	F	2.43824259921609	-0.976005108890369
CC009	3	25	10	0.638499169245485	F	1.83473901097291	-0.976005108890369
CC011	1	9	10	-1.61598542911362	F	-0.579275341999849	-0.976005108890369
CC011	2	12	11	-1.47946175536925	F	-0.126647650817457	-0.408867005075695
CC011	3	8	10	-1.25685749188543	F	-0.730151239060646	-0.976005108890369
CC012	1	10	12	NA	F	-0.428399444939052	0.158271098738979
CC012	2	11	NA	-0.359096523027136	F	-0.277523547878255	NA
CC012	3	6	NA	NA	F	-1.03190303318224	NA
CC013	1	10	16	-4.00785888611758	F	-0.428399444939052	2.42682351399768
CC013	2	10	16	-2.65477963888848	F	-0.428399444939052	2.42682351399768
CC013	3	9	14	0.604707662301046	F	-0.579275341999849	1.29254730636833
CC015	1	9	17	-0.602384419100438	F	-0.579275341999849	2.99396161781235
CC015	2	9	16	-0.994968558504482	F	-0.579275341999849	2.42682351399768
CC015	3	10	16	-0.770773744827584	F	-0.428399444939052	2.42682351399768
CC015	4	6	15	-1.22957063279756	F	-1.03190303318224	1.859685410183
CC015	5	8	15	-0.210393895277873	F	-0.730151239060646	1.859685410183
CC016	1	18	11	-0.535717874685599	F	0.778607731547326	-0.408867005075695
CC016	2	16	12	-0.376199111864006	F	0.476855937425731	0.158271098738979
CC016	3	13	11	-0.0162547908931925	F	0.0242282462433397	-0.408867005075695
CC017	1	14	10	-0.711956597689696	F	0.175104143304137	-0.976005108890369
CC017	2	10	11	-0.465899983207791	F	-0.428399444939052	-0.408867005075695
CC017	3	10	10	-1.46299206764166	F	-0.428399444939052	-0.976005108890369
CC019	1	8	11	NA	F	-0.730151239060646	-0.408867005075695
CC019	2	13	10	-0.914493841899311	F	0.0242282462433397	-0.976005108890369
CC019	3	9	NA	-1.42623326820745	F	-0.579275341999849	NA
CC021	1	25	10	1.52194489061941	F	1.83473901097291	-0.976005108890369
CC021	2	16	10	0.759974165095429	F	0.476855937425731	-0.976005108890369
CC021	3	14	10	1.32673541168172	F	0.175104143304137	-0.976005108890369
CC023	1	10	14	-0.19566163069286	F	-0.428399444939052	1.29254730636833
CC023	2	12	11	0.402763713574985	F	-0.126647650817457	-0.408867005075695
CC023	3	14	12	-1.13360944872228	F	0.175104143304137	0.158271098738979
CC024	1	17	11	-1.40492117772177	F	0.627731834486528	-0.408867005075695
CC024	2	8	11	-0.897638363355008	F	-0.730151239060646	-0.408867005075695
CC024	3	16	12	-1.25990664200891	F	0.476855937425731	0.158271098738979
CC026	1	20	9	-0.73671124237354	F	1.08035952566892	-1.54314321270504
CC026	2	17	10	-1.34846486994749	F	0.627731834486528	-0.976005108890369
CC026	3	23	10	-0.717213001357576	F	1.53298721685131	-0.976005108890369
CC027	1	30	9	1.39376908967514	F	2.58911849627689	-1.54314321270504
CC027	2	27	9	1.99884976536534	F	2.1364908050945	-1.54314321270504
CC027	3	33	10	2.5081002599049	F	3.04174618745928	-0.976005108890369
CC029	1	7	12	-0.0837536299277824	F	-0.881027136121443	0.158271098738979
CC029	2	6	12	0.0320498987903391	F	-1.03190303318224	0.158271098738979
CC029	3	7	12	-0.163783321716668	F	-0.881027136121443	0.158271098738979
