Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
s10_1	68.985167552	150.0	23761982.0	9.09090909091	51.0
s10_2	67.9604109843	150.0	23761982.0	9.09090909091	51.0
s11_1	65.4944820236	150.0	20931561.0	18.1818181818	51.0
s11_2	64.9084467007	150.0	20931561.0	9.09090909091	51.0
s12_1	67.3076488096	150.0	21864323.0	9.09090909091	51.0
s12_2	66.3991856249	150.0	21864323.0	9.09090909091	51.0
s13_1	66.0967121464	150.0	22936230.0	18.1818181818	51.0
s13_2	65.6365217563	150.0	22936230.0	18.1818181818	51.0
s14_1	67.1370095764	150.0	22015445.0	18.1818181818	51.0
s14_2	66.3966594928	150.0	22015445.0	9.09090909091	51.0
s1_1	70.5465658122	150.0	22195990.0	9.09090909091	51.0
s1_2	69.3217334762	150.0	22195990.0	9.09090909091	50.0
s2_1	67.2654765386	150.0	26226833.0	18.1818181818	50.0
s2_2	66.6315295461	150.0	26226833.0	18.1818181818	50.0
s3_1	64.9216489206	150.0	25839836.0	18.1818181818	50.0
s3_2	64.2401525629	150.0	25839836.0	18.1818181818	50.0
s4_1	65.339613753	150.0	23310372.0	18.1818181818	50.0
s4_2	64.7930531034	150.0	23310372.0	18.1818181818	50.0
s5_1	63.213006817	150.0	19434399.0	18.1818181818	51.0
s5_2	62.6936463921	150.0	19434399.0	18.1818181818	51.0
s6_1	63.4024408242	150.0	21111296.0	18.1818181818	51.0
s6_2	62.5352165075	150.0	21111296.0	18.1818181818	51.0
s7_1	65.0862949593	150.0	19910772.0	18.1818181818	51.0
s7_2	64.2996338484	150.0	19910772.0	18.1818181818	51.0
s8_1	66.4921872599	150.0	22607910.0	18.1818181818	50.0
s8_2	65.876391234	150.0	22607910.0	18.1818181818	50.0
s9_1	68.1388478582	150.0	23862991.0	18.1818181818	51.0
s9_2	67.1416061663	150.0	23862991.0	18.1818181818	51.0
